label,text
LIABILITY,"In no event shall either party be liable to the other for any indirect, incidental, special, consequential, or punitive damages, including without limitation loss of profits, data, or use, arising out of or in connection with this Agreement."
LIABILITY,"The total aggregate liability of either party under this Agreement shall not exceed the fees paid by the Customer in the twelve months preceding the event giving rise to the claim."
LIABILITY,"Neither party shall be liable for loss of profits, business interruption, or any incidental damages arising out of breach of this Agreement, even if advised of the possibility of such damages."
LIABILITY,"The Company's liability for direct damages is limited to the amount actually paid by the Customer for the services in the prior six months."
LIABILITY,"Nothing in this clause limits liability for fraud, gross negligence, or wilful misconduct, which shall remain uncapped under applicable law."
LIABILITY,"Each party's liability is excluded for any consequential, special, or exemplary loss whether arising in contract, tort, or otherwise."
TERMINATION,"Either party may terminate this Agreement upon thirty (30) days written notice to the other party for any reason or no reason."
TERMINATION,"This Agreement may be terminated immediately by the Company in the event of a material breach by the Customer that remains uncured for fifteen (15) days after written notice."
TERMINATION,"The Customer may end this Agreement at any time by giving the Company seven (7) days prior written notice of termination."
TERMINATION,"Upon expiry of the Initial Term, this Agreement shall terminate unless either party provides written notice of termination not less than sixty (60) days before the end of the then-current term."
TERMINATION,"Either party may terminate this Agreement for cause if the other party becomes insolvent, files for bankruptcy, or ceases to do business in the ordinary course."
TERMINATION,"The Service Provider reserves the right to suspend or end access to the services upon notice if the Customer fails to comply with the acceptable use policy."
PAYMENT,"Customer shall pay all undisputed invoices within thirty (30) days of receipt of a valid invoice from the Company."
PAYMENT,"Late payments shall accrue interest at one and one-half percent (1.5%) per month, or the maximum rate permitted by applicable law, whichever is lower."
PAYMENT,"All fees are non-refundable except as expressly stated in this Agreement; Customer shall pay all taxes and duties imposed in connection with the services."
PAYMENT,"The annual subscription fee is due and payable in advance, and shall be paid by wire transfer to the account designated by the Company."
PAYMENT,"Customer shall reimburse the Company for reasonable expenses incurred in collecting overdue amounts, including legal fees and collection costs."
PAYMENT,"Invoices shall be issued monthly in arrears for usage-based fees and shall be payable within forty-five (45) days of the invoice date."
PAYMENT,"Payment of all sums due under this Agreement shall be made in Australian dollars unless otherwise specified in the relevant Schedule."
PAYMENT,"The Customer shall not be entitled to withhold or set off any amount payable to the Company without the Company's prior written consent."
PAYMENT,"Subscription fees shall be billed quarterly in advance and are non-refundable for partial quarters of service."
PAYMENT,"Where any payment is overdue by more than thirty (30) days, the Company may suspend the services on five (5) Business Days' notice."
PAYMENT,"The Customer authorises the Company to charge the nominated payment method for all recurring fees on each anniversary of the Effective Date."
PAYMENT,"Invoices not disputed in writing within fifteen (15) Business Days of receipt shall be deemed accepted and payable in full."
PAYMENT,"All amounts payable under this Agreement are exclusive of GST, VAT, or any similar transaction taxes, which shall be added to the invoice at the applicable rate."
PAYMENT,"Payment terms are strictly net thirty (30) days from the date of invoice; no discounts apply unless agreed in writing by the parties."
PAYMENT,"The Customer shall reimburse the Company for all reasonable out-of-pocket expenses incurred in connection with the services, supported by valid receipts."
PAYMENT,"Fees set out in the Order Form are fixed for the Initial Term and may only be varied by the mutual written agreement of the parties."
PAYMENT,"If a direct debit or card payment is dishonoured, the Customer shall pay an administrative fee of fifty dollars ($50) per failed attempt."
PAYMENT,"The Company may, at its sole discretion, require advance payment for any order exceeding the established credit limit of the Customer."
PAYMENT,"Any amounts overpaid by the Customer shall be credited against future invoices and shall not bear interest."
PAYMENT,"The Customer shall be responsible for all bank charges, exchange-rate losses, and wire-transfer fees associated with each payment."
PAYMENT,"Where the Customer pays by purchase order, the Customer warrants that the purchase order has been duly authorised and is valid against the issuing entity."
PAYMENT,"The Company reserves the right to review and adjust fees on each anniversary of the Effective Date upon thirty (30) days prior written notice."
PAYMENT,"Time of payment is of the essence under this Agreement, and any failure to pay on the due date constitutes a material breach of this Agreement."
PAYMENT,"All payments due under this Agreement shall be made by electronic funds transfer to the account specified by the Company in the relevant invoice."
PAYMENT,"The Customer shall pay the Company a non-refundable set-up fee within ten (10) days of the Effective Date."
PAYMENT,"Charges for any additional services requested by the Customer outside the agreed scope shall be billed at the Company's then-prevailing rates."
PAYMENT,"Discounts offered in the Order Form are conditional on full payment by the due date; missed payments void any discount applied."
PAYMENT,"The Customer shall not be relieved of its payment obligations on account of any dispute, dispute-resolution proceedings, or counterclaim under this Agreement."
